insect_OTU,mean_pollen_load,taxonomic_level
Abraxas,4.376237624,order
Agalope,4.376237624,order
Agapostemon_sp_01,32,OTU
Aglais_cashmiriensis,1.6,OTU
Alexeter_sp_01,121.0471698,order
Alexeter_sp_02,121.0471698,order
Alexeter_sp_03,121.0471698,order
Altica_sp_01,27.81052632,order
Amata,4.376237624,order
Amegilla_sp_01,24,OTU
Amegilla_sp_02,24,genus
Ammophila,14,OTU
Ammophila_sp_01,14,OTU
Ammophila_sp_02,14,genus
Ammophila_sp_03,14,genus
Ammophila_sp_04,14,genus
Ammophila_sp_05,14,genus
Andrena,208.0353982,OTU
Andrena_sp_01,226.25,OTU
Andrena_sp_02,238.744186,OTU
Andrena_sp_03,248.6666667,OTU
Andrena_sp_04,194.9411765,OTU
Andrena_sp_05,197.3333333,OTU
Andrena_sp_06,128.2857143,OTU
Andrena_sp_07,4,OTU
Andrena_sp_08,103,OTU
Andrena_sp_09,20,OTU
Andrenidae,206.2982456,OTU
Anomala_sp_01,38.70588235,OTU
Anomala_sp_02,56,OTU
Anomala_sp_03,4,OTU
Antepipona_sp_01,5,OTU
Antepipona_sp_02,3,OTU
Anterhynchium,40.28571429,OTU
Anterhynchium_sp_01,106,OTU
Anterhynchium_sp_02,12,OTU
Anterhynchium_sp_03,17,OTU
Anthaxia_sp_01,27.81052632,order
Anthomyiidae,37.48169014,order
Anthomyiidae_sp_01,37.48169014,order
Anthomyiidae_sp_02,37.48169014,order
Anthomyiidae_sp_03,37.48169014,order
Anthomyiidae_sp_04,37.48169014,order
Anthomyiidae_sp_05,37.48169014,order
Anthophora,103.7142857,OTU
Anthophora_sp_01,175,OTU
Anthophora_sp_02,112.0416667,OTU
Anthophora_sp_03,62.11111111,OTU
Anthophora_sp_04,107.1578947,OTU
Anthophora_sp_05,118.6666667,OTU
Anthophora_sp_06,38,OTU
Anthophora_sp_07,22,OTU
Anthophora_sp_08,10,OTU
Anthophoridae,103.7142857,OTU
Aphidenta,4,family
Aphidenta_sp_01,4,family
Apidae,135.2275281,OTU
Apis_cerana,95.89753321,OTU
Apis_laboriosa,108.6086957,OTU
Arge_sp_01,121.0471698,order
Asarkina_sp_01,4,OTU
Asilidae,5,OTU
Asilidae_sp_01,5,genus
Atherigonia_sp_01,37.48169014,order
Augochlora_sp_01,160.6862745,family
Augochlorella_sp_01,160.6862745,family
Augochloropsis_sp_01,160.6862745,family
Aulocera_saraswati,1.428571429,family
Aulocera_swaha,1.428571429,family
Bercaea_sp_01,22,family
Betasyrphus_sp_01,10,OTU
Betasyrphus_sp_02,10,genus
Bibio,18,family
Bibio_sp_01,18,family
Bibionidae,18,OTU
Bibionidae_sp_01,18,genus
Billaea,21,family
Billaea_sp_01,21,family
Billaea_sp_02,21,family
Blaesoxipha_sp_01,22,family
Blaesoxipha_sp_02,22,family
Boettcherisca_sp_01,28,OTU
Bombus,273.1973684,OTU
Bombus_asiaticus,144.4444444,OTU
Bombus_cerana,273.1973684,genus
Bombus_fenerarius,273.1973684,genus
